model,proj,T,d_in,d_out,cuda_eff,fp16_eff,roof_ratio,primary_bottleneck,cluster_id,nearest_rep_tag,feature_distance,audit_ref
Qwen3-0.6B,q_proj,1,1024,2048,0.1733,0.5581,0.2667,launch_sparse,0,worst_T8_kv_1024_2048,1.2645,
Qwen3-0.6B,q_proj,8,1024,2048,0.0515,0.5378,0.2761,launch_sparse,0,worst_T8_kv_1024_2048,0.0076,
Qwen3-0.6B,q_proj,128,1024,2048,0.0885,0.6159,0.4088,tc_underutil,1,mid_T128_kv_2560_2048,2.2754,
Qwen3-0.6B,q_proj,512,1024,2048,0.1946,0.9850,0.3664,tc_underutil,1,mid_T128_kv_2560_2048,2.3790,
Qwen3-0.6B,q_proj,1024,1024,2048,0.2741,1.0256,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,2.7780,
Qwen3-0.6B,kv_proj,1,1024,2048,0.1770,0.5588,0.2667,launch_sparse,0,worst_T8_kv_1024_2048,1.2943,
Qwen3-0.6B,kv_proj,8,1024,2048,0.0507,0.5398,0.2761,launch_sparse,0,worst_T8_kv_1024_2048,0.0000,
Qwen3-0.6B,kv_proj,128,1024,2048,0.0883,0.6157,0.4088,tc_underutil,1,mid_T128_kv_2560_2048,2.2755,
Qwen3-0.6B,kv_proj,512,1024,2048,0.1941,0.9800,0.3664,tc_underutil,1,mid_T128_kv_2560_2048,2.3776,
Qwen3-0.6B,kv_proj,1024,1024,2048,0.2738,1.0272,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,2.7766,
Qwen3-0.6B,o_proj,1,2048,1024,0.1759,0.5504,0.2667,tc_underutil,1,decode_T1_kv_2560_2048,1.6090,
Qwen3-0.6B,o_proj,8,2048,1024,0.0517,0.4155,0.2781,launch_sparse,0,worst_T8_kv_1024_2048,1.7911,
Qwen3-0.6B,o_proj,128,2048,1024,0.0883,0.5082,0.4359,tc_underutil,1,mid_T128_kv_2560_2048,1.3553,
Qwen3-0.6B,o_proj,512,2048,1024,0.1887,0.9169,0.4527,tc_underutil,1,prefill_T1024_down_3072_1024,1.4556,
Qwen3-0.6B,o_proj,1024,2048,1024,0.2929,0.8975,0.4527,tc_underutil,1,prefill_T1024_down_3072_1024,0.9734,
Qwen3-0.6B,gate_up_proj,1,1024,6144,0.4119,0.9695,0.2665,launch_sparse,0,decode_T1_q_2048_2048,2.0566,
Qwen3-0.6B,gate_up_proj,8,1024,6144,0.1512,1.6205,0.2729,launch_sparse,0,worst_T8_kv_1024_2048,1.4223,
Qwen3-0.6B,gate_up_proj,128,1024,6144,0.2316,1.0636,0.3685,tc_underutil,1,prefill_T512_gu_2048_12288,2.5518,
Qwen3-0.6B,gate_up_proj,512,1024,6144,0.2157,1.0425,0.2855,tc_underutil,1,prefill_T512_gu_2048_12288,2.0382,
Qwen3-0.6B,gate_up_proj,1024,1024,6144,0.2674,1.1469,0.2839,tc_underutil,1,prefill_T512_gu_2048_12288,1.8879,
Qwen3-0.6B,down_proj,1,3072,1024,0.1967,0.8419,0.2666,tc_underutil,1,decode_T1_kv_2560_2048,1.4215,
Qwen3-0.6B,down_proj,8,3072,1024,0.0573,0.6224,0.2772,tc_underutil,1,mid_T128_kv_2560_2048,1.9860,
Qwen3-0.6B,down_proj,128,3072,1024,0.0875,0.7450,0.4258,tc_underutil,1,mid_T128_kv_2560_2048,1.2066,
Qwen3-0.6B,down_proj,512,3072,1024,0.2087,0.9821,0.4527,tc_underutil,1,prefill_T1024_down_3072_1024,0.9145,
Qwen3-0.6B,down_proj,1024,3072,1024,0.3054,0.9772,0.4527,tc_underutil,1,prefill_T1024_down_3072_1024,0.0000,
Qwen3-1.7B,q_proj,1,2048,2048,0.3511,1.1354,0.2663,launch_sparse,0,decode_T1_q_2048_2048,0.0000,
Qwen3-1.7B,q_proj,8,2048,2048,0.0992,0.8252,0.2733,launch_sparse,0,worst_T8_kv_1024_2048,1.7101,
Qwen3-1.7B,q_proj,128,2048,2048,0.1226,0.8558,0.3759,tc_underutil,1,mid_T128_kv_2560_2048,0.5552,
Qwen3-1.7B,q_proj,512,2048,2048,0.2314,1.0982,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,1.3638,
Qwen3-1.7B,q_proj,1024,2048,2048,0.3473,1.0933,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,1.9823,
Qwen3-1.7B,kv_proj,1,2048,2048,0.3501,1.1462,0.2663,launch_sparse,0,decode_T1_q_2048_2048,0.0088,
Qwen3-1.7B,kv_proj,8,2048,2048,0.1002,0.8306,0.2733,launch_sparse,0,worst_T8_kv_1024_2048,1.7124,
Qwen3-1.7B,kv_proj,128,2048,2048,0.1227,0.8557,0.3759,tc_underutil,1,mid_T128_kv_2560_2048,0.5553,
Qwen3-1.7B,kv_proj,512,2048,2048,0.2307,1.0969,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,1.3587,
Qwen3-1.7B,kv_proj,1024,2048,2048,0.3466,1.0933,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,1.9812,
Qwen3-1.7B,o_proj,1,2048,2048,0.3506,1.1432,0.2663,launch_sparse,0,decode_T1_q_2048_2048,0.0045,
Qwen3-1.7B,o_proj,8,2048,2048,0.0999,0.8229,0.2733,launch_sparse,0,worst_T8_kv_1024_2048,1.7117,
Qwen3-1.7B,o_proj,128,2048,2048,0.1226,0.8571,0.3759,tc_underutil,1,mid_T128_kv_2560_2048,0.5552,
Qwen3-1.7B,o_proj,512,2048,2048,0.2308,1.0973,0.3514,tc_underutil,1,mid_T128_kv_2560_2048,1.3594,
Qwen3-1.7B,o_proj,1024,2048,2048,0.3473,1.0929,0.3514,tc_underutil,1,prefill_T1024_down_3072_1024,1.9823,
Qwen3-1.7B,gate_up_proj,1,2048,12288,0.6138,1.0641,0.2660,launch_sparse,0,decode_T1_q_2048_2048,2.9680,
Qwen3-1.7B,gate_up_proj,8,2048,12288,0.5750,2.8416,0.2693,launch_sparse,0,decode_T1_q_2048_2048,2.7619,
Qwen3-1.7B,gate_up_proj,128,2048,12288,0.3767,1.3486,0.3205,tc_underutil,1,prefill_T512_gu_2048_12288,1.1118,
Qwen3-1.7B,gate_up_proj,512,2048,12288,0.3188,1.1694,0.2670,tc_underutil,1,prefill_T512_gu_2048_12288,0.0000,
Qwen3-1.7B,gate_up_proj,1024,2048,12288,0.3342,1.1208,0.2670,tc_underutil,1,prefill_T512_gu_2048_12288,0.3072,
Qwen3-1.7B,down_proj,1,6144,2048,0.3759,0.9816,0.2661,tc_underutil,1,worst_T8_q_4096_4096,1.9210,
Qwen3-1.7B,down_proj,8,6144,2048,0.1210,2.4191,0.2714,tc_underutil,1,worst_T8_q_4096_4096,1.4998,
Qwen3-1.7B,down_proj,128,6144,2048,0.1246,1.2916,0.3519,tc_underutil,1,mid_T128_kv_2560_2048,2.1083,
Qwen3-1.7B,down_proj,512,6144,2048,0.2693,1.1758,0.3514,tc_underutil,1,worst_T8_q_4096_4096,2.3877,
