# target_eff = min(0.80, fp16_efficiency * 0.90)  (requirements.md §1.1)
# status buckets: on_track (cuda_eff >= target), gap_small (<20pp), gap_large (>=20pp), physics_loss
# Summary: gap_large=95, gap_small=4, on_track=1
model,proj,T,d_in,d_out,cuda_eff,fp16_eff,target_eff,gap_pp,status,primary_bottleneck,nearest_rep_tag,audit_ref
Qwen3-0.6B,q_proj,1,1024,2048,0.1733,0.5581,0.5023,+32.90,gap_large,launch_sparse,worst_T8_kv_1024_2048,
Qwen3-0.6B,q_proj,8,1024,2048,0.0515,0.5378,0.4840,+43.25,gap_large,launch_sparse,worst_T8_kv_1024_2048,
Qwen3-0.6B,q_proj,128,1024,2048,0.0885,0.6159,0.5543,+46.58,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,q_proj,512,1024,2048,0.1946,0.9850,0.8000,+60.54,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,q_proj,1024,1024,2048,0.2741,1.0256,0.8000,+52.59,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,kv_proj,1,1024,2048,0.1770,0.5588,0.5030,+32.59,gap_large,launch_sparse,worst_T8_kv_1024_2048,
Qwen3-0.6B,kv_proj,8,1024,2048,0.0507,0.5398,0.4858,+43.51,gap_large,launch_sparse,worst_T8_kv_1024_2048,
Qwen3-0.6B,kv_proj,128,1024,2048,0.0883,0.6157,0.5541,+46.58,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,kv_proj,512,1024,2048,0.1941,0.9800,0.8000,+60.59,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,kv_proj,1024,1024,2048,0.2738,1.0272,0.8000,+52.62,gap_large,tc_underutil,mid_T128_kv_2560_2048,
Qwen3-0.6B,o_proj,1,2048,1024,0.1759,0.5504,0.4954,+31.95,gap_large,tc_underutil,decode_T1_kv_2560_2048,
Qwen3-0.6B,o_proj,8,2048,1024,0.0517,0.4155,0.3740,+32.22,gap_large,launch_sparse,worst_T8_kv_1024_2048,
