model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-0.6B,q_proj,1,1024,2048,8.784640,4.902484,0.558075,mem,7.545600,,1.307488,1.307488,0.173278,fused-mem,0.858954,0.266699
Qwen3-0.6B,q_proj,8,1024,2048,9.208960,4.952680,0.537811,mem,26.531839,0.024220,1.343343,1.367563,0.051544,mem,2.881090,0.276126
Qwen3-0.6B,q_proj,128,1024,2048,9.438080,5.813184,0.615929,mem,26.837440,0.387526,1.988721,2.376246,0.088542,mem,2.843527,0.408769
Qwen3-0.6B,q_proj,512,1024,2048,15.526720,15.293289,0.984966,compute,28.794880,1.550103,4.053931,5.604034,0.194619,mem,1.854537,0.366437
Qwen3-0.6B,q_proj,1024,1024,2048,29.822080,30.586578,1.025635,compute,39.219201,3.100205,7.648960,10.749165,0.274079,compute,1.315106,0.351434
Qwen3-0.6B,kv_proj,1,1024,2048,8.772480,4.902484,0.558848,mem,7.385600,,1.307488,1.307488,0.177032,fused-mem,0.841906,0.266699
Qwen3-0.6B,kv_proj,8,1024,2048,9.175040,4.952680,0.539799,mem,26.973121,0.024220,1.343343,1.367563,0.050701,mem,2.939837,0.276126
Qwen3-0.6B,kv_proj,128,1024,2048,9.441280,5.813184,0.615720,mem,26.901121,0.387526,1.988721,2.376246,0.088333,mem,2.849309,0.408769
Qwen3-0.6B,kv_proj,512,1024,2048,15.605760,15.293289,0.979977,compute,28.866560,1.550103,4.053931,5.604034,0.194136,mem,1.849738,0.366437
Qwen3-0.6B,kv_proj,1024,1024,2048,29.777920,30.586578,1.027156,compute,39.260161,3.100205,7.648960,10.749165,0.273793,compute,1.318432,0.351434
Qwen3-0.6B,o_proj,1,2048,1024,8.906560,4.902484,0.550435,mem,7.434880,,1.307488,1.307488,0.175859,fused-mem,0.834765,0.266699
Qwen3-0.6B,o_proj,8,2048,1024,11.919360,4.952680,0.415516,mem,26.624000,0.048422,1.329001,1.377423,0.051736,mem,2.233677,0.278117
Qwen3-0.6B,o_proj,128,2048,1024,11.437761,5.813184,0.508245,mem,28.693120,0.774753,1.759253,2.534006,0.088314,mem,2.508631,0.435907
Qwen3-0.6B,o_proj,512,2048,1024,16.679680,15.293289,0.916881,compute,36.687040,3.099010,3.824480,6.923490,0.188718,compute,2.199505,0.452714
Qwen3-0.6B,o_proj,1024,2048,1024,34.078720,30.586578,0.897527,compute,47.267842,6.198021,7.648960,13.846980,0.292947,compute,1.387019,0.452714
Qwen3-0.6B,gate_up_proj,1,1024,6144,15.165440,14.702670,0.969485,mem,9.511040,,3.917684,3.917684,0.411909,fused-mem,0.627152,0.266461
Qwen3-0.6B,gate_up_proj,8,1024,6144,9.145280,14.819795,1.620486,mem,26.755841,0.024220,4.020467,4.044687,0.151170,mem,2.925645,0.272925
Qwen3-0.6B,gate_up_proj,128,1024,6144,15.820800,16.827638,1.063640,mem,26.777599,0.387526,5.813184,6.200710,0.231563,mem,1.692557,0.368484
Qwen3-0.6B,gate_up_proj,512,1024,6144,44.011521,45.879867,1.042451,compute,60.743680,1.550103,11.549879,13.099981,0.215660,mem,1.380177,0.285528
Qwen3-0.6B,gate_up_proj,1024,1024,6144,80.003519,91.759734,1.146946,compute,97.413120,3.100205,22.946879,26.047084,0.267388,compute,1.217610,0.283862
Qwen3-0.6B,down_proj,1,3072,1024,8.733760,7.352530,0.841852,mem,9.963520,,1.960037,1.960037,0.196721,fused-mem,1.140805,0.266580
Qwen3-0.6B,down_proj,8,3072,1024,11.921279,7.419458,0.622371,mem,35.870719,0.072624,1.983940,2.056564,0.057333,mem,3.008966,0.277185
Qwen3-0.6B,down_proj,128,3072,1024,11.499521,8.566797,0.744970,mem,41.675200,1.161979,2.485901,3.647880,0.087531,mem,3.624082,0.425816
Qwen3-0.6B,down_proj,512,3072,1024,23.357439,22.939934,0.982125,compute,49.757118,4.647918,5.736720,10.384638,0.208707,compute,2.130247,0.452688
Qwen3-0.6B,down_proj,1024,3072,1024,46.950402,45.879867,0.977199,compute,68.014078,9.295836,11.473439,20.769275,0.305367,compute,1.448637,0.452688
Qwen3-1.7B,q_proj,1,2048,2048,8.631680,9.800187,1.135374,mem,7.433920,,2.610196,2.610196,0.351120,fused-mem,0.861237,0.266341
Qwen3-1.7B,q_proj,8,2048,2048,11.957760,9.867115,0.825164,mem,27.176960,0.048422,2.648441,2.696863,0.099233,mem,2.272747,0.273318
