model,proj,T,d_in,d_out,fp16_us,fp16_roof_us,fp16_efficiency,fp16_bound,cuda_us,cuda_quant_roof_us,cuda_gemm_roof_us,cuda_roof_us,cuda_efficiency,cuda_gemm_bound,cuda_vs_fp16_actual,cuda_vs_fp16_roofline
Qwen3-0.6B,q_proj,1,1024,2048,7.301121,4.902484,0.671470,mem,10.104320,,1.307488,1.307488,0.129399,fused-mem,1.383941,0.266699
Qwen3-0.6B,q_proj,8,1024,2048,8.079357,4.952680,0.613004,mem,30.892160,0.024220,1.343343,1.367563,0.044269,mem,3.823591,0.276126
Qwen3-0.6B,q_proj,32,1024,2048,8.140802,5.124781,0.629518,mem,30.556159,0.096881,1.472418,1.569300,0.051358,mem,3.753458,0.306218
Qwen3-0.6B,q_proj,128,1024,2048,7.362556,5.813184,0.789561,mem,30.749440,0.387526,1.988721,2.376246,0.077278,mem,4.176462,0.408769
Qwen3-0.6B,q_proj,512,1024,2048,11.120634,15.293289,1.375217,compute,30.460479,1.550103,4.053931,5.604034,0.183977,mem,2.739096,0.366437
Qwen3-0.6B,q_proj,1024,1024,2048,22.565756,30.586578,1.355442,compute,32.624640,3.100205,7.648960,10.749165,0.329480,compute,1.445759,0.351434
Qwen3-0.6B,q_proj,2048,1024,2048,49.726725,61.173156,1.230187,compute,61.110082,6.200411,15.297919,21.498330,0.351797,compute,1.228918,0.351434
Qwen3-0.6B,kv_proj,1,1024,2048,8.148479,4.902484,0.601644,mem,7.567360,,1.307488,1.307488,0.172780,fused-mem,0.928684,0.266699
Qwen3-0.6B,kv_proj,8,1024,2048,8.355846,4.952680,0.592720,mem,31.027200,0.024220,1.343343,1.367563,0.044076,mem,3.713232,0.276126
Qwen3-0.6B,kv_proj,32,1024,2048,8.067198,5.124781,0.635262,mem,30.870719,0.096881,1.472418,1.569300,0.050835,mem,3.826697,0.306218
Qwen3-0.6B,kv_proj,128,1024,2048,6.910076,5.813184,0.841262,mem,30.944321,0.387526,1.988721,2.376246,0.076791,mem,4.478145,0.408769
Qwen3-0.6B,kv_proj,512,1024,2048,11.039677,15.293289,1.385302,compute,30.668800,1.550103,4.053931,5.604034,0.182728,mem,2.778052,0.366437
Qwen3-0.6B,kv_proj,1024,1024,2048,22.630405,30.586578,1.351570,compute,32.653439,3.100205,7.648960,10.749165,0.329189,compute,1.442901,0.351434
Qwen3-0.6B,kv_proj,2048,1024,2048,49.694719,61.173156,1.230979,compute,61.245441,6.200411,15.297919,21.498330,0.351019,compute,1.232434,0.351434
Qwen3-0.6B,o_proj,1,2048,1024,7.262402,4.902484,0.675050,mem,7.576320,,1.307488,1.307488,0.172576,fused-mem,1.043225,0.266699
Qwen3-0.6B,o_proj,8,2048,1024,6.888962,4.952680,0.718930,mem,34.643841,0.048422,1.329001,1.377423,0.039760,mem,5.028891,0.278117
Qwen3-0.6B,o_proj,32,2048,1024,6.522884,5.124781,0.785662,mem,34.908800,0.193688,1.415051,1.608739,0.046084,mem,5.351743,0.313914
Qwen3-0.6B,o_proj,128,2048,1024,7.845755,5.813184,0.740934,mem,34.949119,0.774753,1.759253,2.534006,0.072506,mem,4.454526,0.435907
Qwen3-0.6B,o_proj,512,2048,1024,11.448326,15.293289,1.335854,compute,34.875200,3.099010,3.824480,6.923490,0.198522,compute,3.046314,0.452714
Qwen3-0.6B,o_proj,1024,2048,1024,30.996161,30.586578,0.986786,compute,36.473601,6.198021,7.648960,13.846980,0.379644,compute,1.176714,0.452714
Qwen3-0.6B,o_proj,2048,2048,1024,47.771196,61.173156,1.280545,compute,58.757119,12.396041,15.297919,27.693960,0.471329,compute,1.229970,0.452714
Qwen3-0.6B,gate_up_proj,1,1024,6144,16.261120,14.702670,0.904161,mem,9.492480,,3.917684,3.917684,0.412715,fused-mem,0.583753,0.266461
Qwen3-0.6B,gate_up_proj,8,1024,6144,15.708160,14.819795,0.943446,mem,30.863681,0.024220,4.020467,4.044687,0.131050,mem,1.964818,0.272925
Qwen3-0.6B,gate_up_proj,32,1024,6144,15.609922,15.221363,0.975108,mem,30.739839,0.096881,4.379010,4.475892,0.145606,mem,1.969250,0.294053
Qwen3-0.6B,gate_up_proj,128,1024,6144,17.243195,16.827638,0.975900,mem,30.699520,0.387526,5.813184,6.200710,0.201981,mem,1.780385,0.368484
Qwen3-0.6B,gate_up_proj,512,1024,6144,45.748482,45.879867,1.002872,compute,51.783681,1.550103,11.549879,13.099981,0.252975,mem,1.131921,0.285528
Qwen3-0.6B,gate_up_proj,1024,1024,6144,75.622072,91.759734,1.213399,compute,79.851518,3.100205,22.946879,26.047084,0.326194,compute,1.055929,0.283862
Qwen3-0.6B,gate_up_proj,2048,1024,6144,156.754560,183.519469,1.170744,compute,149.388800,6.200411,45.893758,52.094168,0.348715,compute,0.953011,0.283862
Qwen3-0.6B,down_proj,1,3072,1024,9.034557,7.352530,0.813823,mem,9.789440,,1.960037,1.960037,0.200220,fused-mem,1.083555,0.266580
Qwen3-0.6B,down_proj,8,3072,1024,9.656324,7.419458,0.768352,mem,34.867201,0.072624,1.983940,2.056564,0.058983,mem,3.610815,0.277185
